Source,Commodity_Description,Country_Name,Market_Year,Attribute_Description,Unit_Description,Parameters,Value
USDA,Corn,Argentina,2015,Area Harvested,(MHA),Area Harvested (MHA),3.7
USDA,Corn,Argentina,2015,Beginning Stocks,(MMT),Beginning Stocks (MMT),2.898
USDA,Corn,Argentina,2015,Domestic Consumption,(MMT),Domestic Consumption (MMT),9.3
USDA,Corn,Argentina,2015,Ending Stocks,(MMT),Ending Stocks (MMT),1.448
USDA,Corn,Argentina,2015,Exports,(MMT),Exports (MMT),21.653
USDA,Corn,Argentina,2015,Feed Dom. Consumption,(MMT),Feed Dom. Consumption (MMT),6
USDA,Corn,Argentina,2015,FSI Consumption,(MMT),FSI Consumption (MMT),3.3
USDA,Corn,Argentina,2015,Imports,(MMT),Imports (MMT),0.003
USDA,Corn,Argentina,2015,Production,(MMT),Production (MMT),29.5
USDA,Corn,Argentina,2015,Total Distribution,(MMT),Total Distribution (MMT),32.401
USDA,Corn,Argentina,2015,Total Supply,(MMT),Total Supply (MMT),32.401
USDA,Corn,Argentina,2015,Yield,(MMT/MHA),Yield (MMT/MHA),7.97
USDA,Corn,Argentina,2016,Area Harvested,(MHA),Area Harvested (MHA),4.9
USDA,Corn,Argentina,2016,Beginning Stocks,(MMT),Beginning Stocks (MMT),1.448
USDA,Corn,Argentina,2016,Domestic Consumption,(MMT),Domestic Consumption (MMT),11.2
USDA,Corn,Argentina,2016,Ending Stocks,(MMT),Ending Stocks (MMT),5.273
USDA,Corn,Argentina,2016,Exports,(MMT),Exports (MMT),25.986
USDA,Corn,Argentina,2016,Feed Dom. Consumption,(MMT),Feed Dom. Consumption (MMT),7.5
USDA,Corn,Argentina,2016,FSI Consumption,(MMT),FSI Consumption (MMT),3.7
USDA,Corn,Argentina,2016,Imports,(MMT),Imports (MMT),0.011
USDA,Corn,Argentina,2016,Production,(MMT),Production (MMT),41
USDA,Corn,Argentina,2016,Total Distribution,(MMT),Total Distribution (MMT),42.459
USDA,Corn,Argentina,2016,Total Supply,(MMT),Total Supply (MMT),42.459
USDA,Corn,Argentina,2016,Yield,(MMT/MHA),Yield (MMT/MHA),8.37
USDA,Corn,Argentina,2017,Area Harvested,(MHA),Area Harvested (MHA),5.2
USDA,Corn,Argentina,2017,Beginning Stocks,(MMT),Beginning Stocks (MMT),5.273
USDA,Corn,Argentina,2017,Domestic Consumption,(MMT),Domestic Consumption (MMT),12.4
USDA,Corn,Argentina,2017,Ending Stocks,(MMT),Ending Stocks (MMT),2.407
USDA,Corn,Argentina,2017,Exports,(MMT),Exports (MMT),22.473
USDA,Corn,Argentina,2017,Feed Dom. Consumption,(MMT),Feed Dom. Consumption (MMT),8.5
USDA,Corn,Argentina,2017,FSI Consumption,(MMT),FSI Consumption (MMT),3.9
USDA,Corn,Argentina,2017,Imports,(MMT),Imports (MMT),0.007
USDA,Corn,Argentina,2017,Production,(MMT),Production (MMT),32
USDA,Corn,Argentina,2017,Total Distribution,(MMT),Total Distribution (MMT),37.28
USDA,Corn,Argentina,2017,Total Supply,(MMT),Total Supply (MMT),37.28
USDA,Corn,Argentina,2017,Yield,(MMT/MHA),Yield (MMT/MHA),6.15
USDA,Corn,Argentina,2018,Area Harvested,(MHA),Area Harvested (MHA),6.1
USDA,Corn,Argentina,2018,Beginning Stocks,(MMT),Beginning Stocks (MMT),2.407
USDA,Corn,Argentina,2018,Domestic Consumption,(MMT),Domestic Consumption (MMT),13.8
USDA,Corn,Argentina,2018,Ending Stocks,(MMT),Ending Stocks (MMT),3.612
USDA,Corn,Argentina,2018,Exports,(MMT),Exports (MMT),36
USDA,Corn,Argentina,2018,Feed Dom. Consumption,(MMT),Feed Dom. Consumption (MMT),9.7
USDA,Corn,Argentina,2018,FSI Consumption,(MMT),FSI Consumption (MMT),4.1
USDA,Corn,Argentina,2018,Imports,(MMT),Imports (MMT),0.005
USDA,Corn,Argentina,2018,Production,(MMT),Production (MMT),51
USDA,Corn,Argentina,2018,Total Distribution,(MMT),Total Distribution (MMT),53.412
USDA,Corn,Argentina,2018,Total Supply,(MMT),Total Supply (MMT),53.412
USDA,Corn,Argentina,2018,Yield,(MMT/MHA),Yield (MMT/MHA),8.36
USDA,Corn,Argentina,2019,Area Harvested,(MHA),Area Harvested (MHA),6.1
USDA,Corn,Argentina,2019,Beginning Stocks,(MMT),Beginning Stocks (MMT),3.612
USDA,Corn,Argentina,2019,Domestic Consumption,(MMT),Domestic Consumption (MMT),15
USDA,Corn,Argentina,2019,Ending Stocks,(MMT),Ending Stocks (MMT),5.117
USDA,Corn,Argentina,2019,Exports,(MMT),Exports (MMT),33.5
USDA,Corn,Argentina,2019,Feed Dom. Consumption,(MMT),Feed Dom. Consumption (MMT),10.3
USDA,Corn,Argentina,2019,FSI Consumption,(MMT),FSI Consumption (MMT),4.7
USDA,Corn,Argentina,2019,Imports,(MMT),Imports (MMT),0.005
USDA,Corn,Argentina,2019,Production,(MMT),Production (MMT),50
USDA,Corn,Argentina,2019,Total Distribution,(MMT),Total Distribution (MMT),53.617
USDA,Corn,Argentina,2019,Total Supply,(MMT),Total Supply (MMT),53.617
USDA,Corn,Argentina,2019,Yield,(MMT/MHA),Yield (MMT/MHA),8.2
USDA,Soybean,Argentina,2015,Area Harvested,(MHA),Area Harvested (MHA),19.35
USDA,Soybean,Argentina,2015,Area Harvested,(MHA),Area Harvested (MHA),19.35
USDA,Soybean,Argentina,2015,Beginning Stocks,(MMT),Beginning Stocks (MMT),27.069
USDA,Soybean,Argentina,2015,Beginning Stocks,(MMT),Beginning Stocks (MMT),6.181
USDA,Soybean,Argentina,2015,Crush,(MMT),Crush (MMT),43.267
USDA,Soybean,Argentina,2015,Crush,(MMT),Crush (MMT),43.042
USDA,Soybean,Argentina,2015,Domestic Consumption,(MMT),Domestic Consumption (MMT),49.467
USDA,Soybean,Argentina,2015,Domestic Consumption,(MMT),Domestic Consumption (MMT),49.242
USDA,Soybean,Argentina,2015,Ending Stocks,(MMT),Ending Stocks (MMT),27.156
USDA,Soybean,Argentina,2015,Ending Stocks,(MMT),Ending Stocks (MMT),7.997
USDA,Soybean,Argentina,2015,Exports,(MMT),Exports (MMT),9.922
USDA,Soybean,Argentina,2015,Exports,(MMT),Exports (MMT),9.046
USDA,Soybean,Argentina,2015,Feed Waste Dom. Cons.,(MMT),Feed Waste Dom. Cons. (MMT),6.2
USDA,Soybean,Argentina,2015,Feed Waste Dom. Cons.,(MMT),Feed Waste Dom. Cons. (MMT),6.2
USDA,Soybean,Argentina,2015,Food Use Dom. Cons.,(MMT),Food Use Dom. Cons. (MMT),0
USDA,Soybean,Argentina,2015,Food Use Dom. Cons.,(MMT),Food Use Dom. Cons. (MMT),0
